date,ETHBTC open,ETHBTC high,ETHBTC low,ETHBTC close,ETHBTC volume,BTCUSDT open,BTCUSDT high,BTCUSDT low,BTCUSDT close,BTCUSDT volume,ETHUSDT open,ETHUSDT high,ETHUSDT low,ETHUSDT close,ETHUSDT volume,BNBUSDT open,BNBUSDT high,BNBUSDT low,BNBUSDT close,BNBUSDT volume,ADAUSDT open,ADAUSDT high,ADAUSDT low,ADAUSDT close,ADAUSDT volume,XRPUSDT open,XRPUSDT high,XRPUSDT low,XRPUSDT close,XRPUSDT volume,TRXUSDT open,TRXUSDT high,TRXUSDT low,TRXUSDT close,TRXUSDT volume,ETCUSDT open,ETCUSDT high,ETCUSDT low,ETCUSDT close,ETCUSDT volume,MATICUSDT open,MATICUSDT high,MATICUSDT low,MATICUSDT close,MATICUSDT volume,FTMUSDT open,FTMUSDT high,FTMUSDT low,FTMUSDT close,FTMUSDT volume,DOGEUSDT open,DOGEUSDT high,DOGEUSDT low,DOGEUSDT close,DOGEUSDT volume,BTCBUSD open,BTCBUSD high,BTCBUSD low,BTCBUSD close,BTCBUSD volume,BUSDUSDT open,BUSDUSDT high,BUSDUSDT low,BUSDUSDT close,BUSDUSDT volume,ETHBUSD open,ETHBUSD high,ETHBUSD low,ETHBUSD close,ETHBUSD volume,SOLUSDT open,SOLUSDT high,SOLUSDT low,SOLUSDT close,SOLUSDT volume,MANAUSDT open,MANAUSDT high,MANAUSDT low,MANAUSDT close,MANAUSDT volume,SANDUSDT open,SANDUSDT high,SANDUSDT low,SANDUSDT close,SANDUSDT volume,DOTUSDT open,DOTUSDT high,DOTUSDT low,DOTUSDT close,DOTUSDT volume,LUNABUSD open,LUNABUSD high,LUNABUSD low,LUNABUSD close,LUNABUSD volume,LUNAUSDT open,LUNAUSDT high,LUNAUSDT low,LUNAUSDT close,LUNAUSDT volume,EGLDUSDT open,EGLDUSDT high,EGLDUSDT low,EGLDUSDT close,EGLDUSDT volume,AVAXUSDT open,AVAXUSDT high,AVAXUSDT low,AVAXUSDT close,AVAXUSDT volume,NEARUSDT open,NEARUSDT high,NEARUSDT low,NEARUSDT close,NEARUSDT volume,SLPBUSD open,SLPBUSD high,SLPBUSD low,SLPBUSD close,SLPBUSD volume,SLPUSDT open,SLPUSDT high,SLPUSDT low,SLPUSDT close,SLPUSDT volume,SHIBUSDT open,SHIBUSDT high,SHIBUSDT low,SHIBUSDT close,SHIBUSDT volume,SHIBBUSD open,SHIBBUSD high,SHIBBUSD low,SHIBBUSD close,SHIBBUSD volume,GALAUSDT open,GALAUSDT high,GALAUSDT low,GALAUSDT close,GALAUSDT volume,BETAUSDT open,BETAUSDT high,BETAUSDT low,BETAUSDT close,BETAUSDT volume,SLPTRY open,SLPTRY high,SLPTRY low,SLPTRY close,SLPTRY volume
2017-08-17,0.06973500,0.07225400,0.06807700,0.07047900,24002.43100000,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700,301.13000000,312.18000000,298.00000000,302.00000000,7030.71034000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,0.07047900,0.07300500,0.06956500,0.07143300,29861.75600000,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,302.00000000,311.79000000,283.94000000,293.96000000,9537.84646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,0.07118700,0.07374100,0.06992500,0.07003600,19918.66500000,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,293.31000000,299.90000000,278.00000000,290.91000000,2146.19773000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20,0.07034700,0.07300000,0.06900000,0.07219800,22530.29400000,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,289.41000000,300.53000000,282.85000000,299.10000000,2510.13871000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,0.07219800,0.08865800,0.07150900,0.08052000,48283.41600000,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,299.10000000,346.52000000,294.60000000,323.29000000,5219.44542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,0.08068800,0.08450000,0.07001000,0.07682500,42660.05000000,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,321.04000000,330.41000000,144.21000000,309.80000000,7956.35088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23,0.07679400,0.07968900,0.07416400,0.07706000,41661.39200000,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,312.25000000,324.99000000,309.41000000,315.74000000,8665.72569000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24,0.07706000,0.07864900,0.07456700,0.07533900,44430.69200000,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,315.74000000,328.04000000,314.01000000,323.42000000,6753.27192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,0.07530200,0.07790000,0.07474200,0.07658700,35690.37700000,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,323.42000000,338.28000000,323.42000000,327.24000000,7125.96962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26,0.07659300,0.07870800,0.07526900,0.07664700,31475.75200000,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,327.24000000,335.44000000,323.41000000,330.79000000,4877.68521000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
